week,tavg,tmin,tmax,prcp,wspd,District,MOH,Latitude,Longitude
2013-01-07,26.972857142857144,26.154285714285713,27.592857142857145,110.88,5.087142857142857,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-01-14,26.33857142857143,25.754285714285714,26.924285714285713,121.3,5.3100000000000005,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-01-21,26.072857142857142,25.345714285714287,26.824285714285715,3.07,4.928571428571429,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-01-28,26.41142857142857,25.90285714285714,27.00857142857143,24.03,5.911428571428571,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-02-04,26.174285714285713,25.444285714285712,26.96,65.09,5.362857142857143,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-02-11,26.82857142857143,26.30857142857143,27.50857142857143,59.51,4.4871428571428575,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-02-18,26.889999999999997,26.142857142857142,27.568571428571428,131.52,3.692857142857143,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-02-25,26.580000000000002,25.912857142857142,27.43,2.44,4.338571428571428,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-03-04,26.958571428571428,26.174285714285713,27.812857142857144,36.550000000000004,4.762857142857143,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-03-11,27.49285714285714,26.867142857142856,28.14428571428571,54.5,4.452857142857143,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-03-18,27.36285714285714,26.575714285714287,28.232857142857142,11.35,3.6128571428571425,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-03-25,27.472857142857144,26.518571428571427,28.398571428571426,30.07,2.9771428571428573,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-04-01,28.330000000000002,27.419999999999998,29.298571428571428,19.44,2.4828571428571427,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-04-08,28.81,27.40285714285714,30.155714285714286,3.63,2.79,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-04-15,28.72714285714286,27.83142857142857,29.564285714285713,40.23,2.7342857142857144,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-04-22,29.302857142857142,27.927142857142858,30.571428571428573,12.21,3.0799999999999996,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-04-29,29.268571428571427,28.268571428571427,30.155714285714286,21.73,2.5042857142857144,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-05-06,29.224285714285713,28.357142857142858,29.96,58.660000000000004,3.032857142857143,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-05-13,29.64428571428571,28.34857142857143,31.09,70.84,4.675714285714286,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-05-20,28.892857142857142,27.624285714285715,30.67142857142857,27.05,6.04,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-05-27,28.662857142857142,27.50857142857143,30.417142857142856,3.38,7.331428571428572,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-06-03,28.415714285714284,27.431428571428572,29.837142857142858,18.72,7.147142857142858,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-06-10,28.392857142857142,27.198571428571427,30.17142857142857,19.34,7.135714285714286,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-06-17,28.574285714285715,27.202857142857145,30.557142857142857,14.01,8.258571428571429,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-06-24,28.502857142857145,26.967142857142857,30.75857142857143,21.17,7.518571428571428,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-07-01,28.349999999999998,26.900000000000002,30.470000000000002,11.56,6.424285714285714,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-07-08,28.074285714285715,26.658571428571427,29.872857142857146,37.4,6.478571428571429,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-07-15,28.21857142857143,26.830000000000002,30.292857142857144,10.45,6.352857142857142,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-07-22,28.12142857142857,26.827142857142857,30.18,9.95,7.585714285714286,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-07-29,28.25714285714286,26.669999999999998,30.315714285714286,5.8500000000000005,6.758571428571429,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-08-05,28.525714285714287,26.82857142857143,30.934285714285714,4.02,7.031428571428571,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-08-12,28.06714285714286,26.525714285714287,29.830000000000002,46.35,5.198571428571428,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-08-19,28.315714285714286,26.474285714285713,30.71,20.29,5.768571428571429,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-08-26,28.657142857142855,26.69,31.069999999999997,2.64,5.601428571428571,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-09-02,28.53142857142857,27.118571428571425,30.117142857142856,33.52,3.4271428571428575,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-09-09,27.841428571428573,26.5,29.82,50.06,5.92,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-09-16,28.084285714285716,26.431428571428572,30.46857142857143,19.7,7.227142857142857,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-09-23,28.66857142857143,26.97714285714286,31.175714285714285,3.0100000000000002,7.377142857142857,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-09-30,28.84714285714286,26.669999999999998,31.454285714285714,0.01,4.9399999999999995,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-10-07,28.627142857142854,26.487142857142857,31.225714285714282,0.3,4.774285714285715,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-10-14,28.774285714285718,26.97142857142857,31.08857142857143,5.0600000000000005,5.467142857142856,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-10-21,27.72714285714286,26.53142857142857,29.231428571428573,60.31,4.018571428571429,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-10-28,28.428571428571427,26.697142857142858,30.669999999999998,10.95,4.6657142857142855,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-11-04,27.854285714285712,27.02857142857143,28.698571428571427,73.19,3.1271428571428572,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-11-11,27.798571428571428,27.214285714285715,28.545714285714286,78.73,5.0,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-11-18,27.294285714285714,26.59857142857143,28.004285714285714,21.04,4.828571428571428,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-11-25,27.204285714285714,26.538571428571426,27.919999999999998,58.989999999999995,3.04,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-12-02,26.724285714285713,26.117142857142856,27.412857142857142,48.35,3.914285714285714,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-12-09,26.68285714285714,26.131428571428575,27.392857142857142,74.71000000000001,6.032857142857142,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-12-16,26.229999999999997,25.464285714285715,27.052857142857142,21.62,4.074285714285714,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-12-23,25.997142857142855,25.461428571428574,26.62285714285714,3.26,5.452857142857143,Trincomalee,Kuchchavely,8.818264,81.0996219
2013-12-30,25.96,25.16142857142857,26.825714285714287,3.8400000000000003,5.3100000000000005,Trincomalee,Kuchchavely,8.818264,81.0996219
2014-01-06,25.714285714285715,25.207142857142856,26.31714285714286,32.11,6.278571428571429,Trincomalee,Kuchchavely,8.818264,81.0996219
2014-01-13,25.925714285714285,25.388571428571428,26.595714285714283,95.84,5.2542857142857144,Trincomalee,Kuchchavely,8.818264,81.0996219
2014-01-20,26.011428571428574,25.360000000000003,26.725714285714282,11.86,5.115714285714286,Trincomalee,Kuchchavely,8.818264,81.0996219
2014-01-27,26.05142857142857,25.42142857142857,26.865714285714287,2.97,5.47,Trincomalee,Kuchchavely,8.818264,81.0996219
2014-02-03,26.231428571428573,25.557142857142857,27.018571428571427,12.0,5.618571428571428,Trincomalee,Kuchchavely,8.818264,81.0996219
2014-02-10,25.745714285714286,24.654285714285717,26.978571428571428,0.0,4.061428571428571,Trincomalee,Kuchchavely,8.818264,81.0996219
2014-02-17,26.631428571428575,25.518571428571427,27.92142857142857,0.11,3.5742857142857143,Trincomalee,Kuchchavely,8.818264,81.0996219
2014-02-24,27.045714285714286,26.111428571428572,28.135714285714283,9.16,5.0842857142857145,Trincomalee,Kuchchavely,8.818264,81.0996219
